level
4
levels/level1
,0,0,7,7;,0,1072,1076,0
,7,112,165,1;,135,95,0,0
,1916,146,142,1916;,7,7,0,0
,1756,1805,1916,1916;,5,91,140,1
,1906,1916,1916,1905;,125,131,1076,946
,1905,1800,1760,1912;,945,975,1066,1076
,136,1771,1916,0;,1065,1057,1076,1076
,5,116,161,0;,922,980,1070,1076
,90,832,832,75;,525,521,551,547
,1081,1081,1850,1841;,521,551,541,526
,300,300,331,337;,191,225,225,191
,440,442,480,480;,191,226,221,187
,725,721,770,766;,187,226,225,181
,871,870,905,907;,195,226,225,191
,1006,1006,1046,1050;,187,221,221,187
,1147,1147,1186,1192;,185,225,221,185
,1290,1290,1335,1336;,187,221,226,185
,1430,1430,1481,1475;,185,221,221,185
,1571,1571,1621,1621;,185,226,226,187
,296,292,341,341;,365,406,405,367
,577,577,626,626;,367,405,405,365
,720,720,770,766;,367,406,406,367
,866,862,911,911;,365,401,405,367
,1006,1006,1050,1050;,367,406,401,365
,1290,1290,1336,1335;,365,406,406,365
,1432,1432,1481,1475;,367,401,401,367
,1575,1575,1620,1620;,365,406,405,365
,1717,1715,1762,1762;,367,405,401,365
,1,37,50,75,97,82,50,46,0;,446,466,496,496,536,577,577,607,626
,1906,1871,1865,1831,1820,1837,1867,1875,1910;,446,465,495,495,532,577,575,607,622
,155,150,200,196;,697,735,740,697
,80,80,127,125;,785,830,830,787
,292,292,341,341;,697,731,736,695
,221,221,271,270;,785,826,830,787
,361,360,416,416;,785,830,830,781
,296,292,337,341;,875,916,915,875
,440,436,481,485;,695,735,735,697
,506,500,555,555;,785,826,825,785
,436,440,487,485;,875,922,916,871
,581,577,626,626;,701,740,740,697
,721,721,770,766;,691,731,736,701
,650,652,697,697;,785,825,826,785
,581,577,622,630;,871,915,915,875
,870,866,915,907;,697,736,736,697
,791,795,841,841;,787,830,826,785
,720,721,766,766;,875,920,916,881
,931,926,982,980;,785,830,826,781
,866,866,911,905;,877,916,916,871
,1006,1010,1051,1050;,697,740,740,695
,1080,1076,1121,1121;,785,817,825,785
,1010,1006,1050,1055;,875,911,915,871
,1147,1147,1192,1196;,695,742,742,695
,1145,1147,1200,1196;,877,915,911,875
,1216,1215,1267,1267;,785,826,825,785
,1290,1291,1342,1336;,697,735,736,697
,1361,1357,1411,1410;,785,830,826,785
,1291,1291,1335,1336;,875,916,915,875
,1432,1432,1481,1477;,875,915,920,877
,1436,1432,1477,1477;,695,736,735,701
,1575,1575,1620,1621;,697,735,735,691
,1505,1505,1546,1550;,781,821,821,785
,1575,1576,1612,1616;,875,915,911,877
,1646,1651,1687,1691;,785,825,821,785
,1717,1717,1760,1756;,697,735,736,695
,1786,1790,1835,1835;,785,825,825,785
,590,613,613,590;,196,195,219,219
,806,825,825,806;,290,286,311,309
,948,967,967,948;,288,288,307,309
,1093,1108,1106,1093;,290,286,311,311
,1376,1389,1395,1374;,286,288,307,309
,1518,1539,1535,1509;,288,286,307,311
,1657,1683,1683,1655;,288,285,311,311
,1801,1824,1824,1798;,290,286,309,311
,1160,1181,1186,1160;,373,375,395,397
,444,472,476,446;,378,378,395,397
,161,185,189,163;,375,375,397,399
,93,114,116,91;,288,286,309,311
,234,260,260,236;,286,290,315,311
,380,393,399,382;,290,288,309,307
,523,543,545,517;,286,288,315,311
,661,684,686,656;,285,286,309,309
,1226,1258,1256,1226;,288,285,311,313

1717/135
1721/881
187/881
187/135
