sampleLevel
6
levels/level1
,0,0,0,0;,0,1065,1065,0
,0,105,165,0;,135,90,0,0
,1905,135,135,1905;,0,0,0,0
,1755,1800,1905,1905;,0,90,135,0
,1905,1800,1755,1905;,945,975,1065,1065
,0,105,150,0;,915,975,1065,1065
,0,30,45,75,90,75,45,45,0;,435,465,495,495,525,570,570,600,615
,585,600,600,585;,195,195,210,210
,795,825,825,795;,285,285,300,300
,945,960,960,945;,285,285,300,300
,1365,1380,1395,1365;,285,285,300,300
,1515,1530,1530,1500;,285,285,300,300
,1650,1680,1680,1650;,285,285,300,300
,1800,1815,1815,1785;,285,285,300,300
,1155,1170,1185,1155;,360,375,390,390
,435,465,465,435;,375,375,390,390
,150,180,180,150;,375,375,390,390
,90,105,105,90;,285,285,300,300
,225,255,255,225;,285,285,315,300
,375,390,390,375;,285,285,300,300
,510,540,540,510;,285,285,315,300
,660,675,675,645;,285,285,300,300
,1215,1245,1245,1215;,285,285,300,300
,735,720,750,750;,195,210,210,195
,870,870,885,885;,195,210,210,180
,1020,1005,1035,1035;,195,210,210,195
,1155,1155,1170,1170;,195,210,210,195
,1305,1305,1320,1320;,195,210,210,195
,1440,1440,1455,1455;,195,210,210,195
,1590,1575,1605,1605;,195,210,210,195
,300,300,315,330;,375,390,390,375
,585,585,600,600;,375,390,390,375
,720,720,750,750;,375,390,390,375
,870,870,885,885;,375,390,390,375
,1020,1020,1035,1035;,375,390,390,375
,1290,1290,1320,1320;,375,390,390,375
,1440,1440,1470,1455;,375,390,390,375
,1575,1575,1605,1605;,375,390,390,375
,1725,1725,1740,1740;,375,390,390,375
,300,300,315,315;,195,210,210,195
,450,450,465,465;,195,210,210,195
,165,165,180,180;,705,720,720,705
,90,90,106,105;,795,810,810,795
,300,300,316,316;,705,720,720,705
,1,0,0,0;,121,436,435,121
,3,3,0,0;,603,930,930,603
,150,1770,1773,135;,1055,1050,1068,1065
,1081,1081,1110,1100;,285,301,301,285
,1905,1905,1910,1910;,125,945,945,123
,90,825,825,80;,525,525,540,540
,1087,1815,1815,1085;,526,525,540,540
,159,1758,1756,165;,3,7,0,0
,451,450,466,466;,706,727,727,705
,592,588,609,611;,705,727,729,705
,735,736,750,753;,705,723,723,706
,873,871,892,894;,705,723,723,705
,1020,1020,1040,1038;,706,721,721,705
,1162,1160,1181,1179;,705,727,729,701
,1305,1299,1325,1327;,705,729,729,705
,1440,1449,1462,1464;,705,727,725,705
,1582,1582,1612,1608;,705,723,725,708
,1732,1732,1751,1747;,706,725,725,708
,240,234,260,258;,798,815,813,795
,375,375,405,405;,798,819,815,796
,519,517,541,543;,796,821,817,795
,663,661,690,686;,795,819,825,796
,804,802,826,826;,795,817,817,795
,948,945,969,967;,795,817,813,795
,1087,1089,1113,1111;,796,817,817,795
,1230,1231,1248,1250;,796,815,815,800
,1374,1374,1396,1396;,798,819,817,795
,1515,1515,1533,1537;,795,817,817,795
,1657,1657,1683,1676;,796,815,819,795
,1801,1801,1820,1818;,795,817,813,795
,303,305,331,330;,886,907,903,888
,451,446,472,472;,888,911,905,881
,588,588,609,615;,885,916,911,885
,731,735,755,755;,885,909,903,879
,873,873,901,900;,885,909,915,881
,1012,1010,1040,1042;,885,907,907,885
,1160,1156,1179,1179;,890,911,905,888
,1305,1299,1320,1321;,888,901,909,885
,1443,1441,1460,1466;,890,909,907,881
,1582,1582,1612,1610;,890,911,911,888

1710/135
1710/870
180/870
180/135
1425/69
1042/61
